company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
ECON GEOTECH PTE LTD,201509492D,Specialist Builder (Site Investigation Work),SB(SI),na,2/7/18,57,UBI AVENUE 1,#04-05/06,UBI CENTRE,408936,64841238
ECON PRECAST PTE. LTD.,199705242M,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,18/6/18,11,SIXTH LOK YANG ROAD,na,na,628109,63686677
ECOPAVE PTE. LTD.,199504482H,General Builder Class 2,GB2,na,16/6/18,10,WOODLANDS INDUSTRIAL PARK E3,na,na,757788,65554555
ECOPLUS MANUFACTURING PTE. LTD.,199704174C,General Builder Class 2,GB2,na,13/5/18,5,YISHUN INDUSTRIAL STREET 1,#07-07,NORTH SPRING BIZHUB,768161,63677595
"ED. ZUBLIN AG, SINGAPORE BRANCH",201539248K,General Builder Class 1,GB1,na,18/6/18,47,SCOTTS ROAD,#17-02,GOLDBELL TOWER,228233,63390436
"ED. ZUBLIN AG, SINGAPORE BRANCH",201607056H,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,10/10/17,47,SCOTTS ROAD,#17-02,GOLDBELL TOWER,228233,63390436
EDENN SERVICES PTE LTD,200201563D,General Builder Class 2,GB2,na,9/5/19,19,KAKI BUKIT INDUSTRIAL TERRACE,na,na,416099,68414208
EDMC PROJECTS PTE. LTD.,198002197R,General Builder Class 1,GB1,na,16/6/18,1001,JALAN BUKIT MERAH,#06-09,na,159455,62730072
EDZ INTERIOR CONTRACTS PTE LTD,200201019M,General Builder Class 2,GB2,na,16/6/18,13,KRANJI LINK,na,KRANJI LINC,728675,63641722
EE HUP CONSTRUCTION PTE LTD,198801438G,General Builder Class 2,GB2,na,3/7/18,22A,BEATTY ROAD,na,na,209948,62954623
EFFULGENT BUILDER & MARKETING PTE LTD,199303422H,General Builder Class 2,GB2,na,16/6/18,57,UBI AVENUE 1,#07-12,UBI CENTRE,408936,67468017
EGRADE CONTRACTOR PTE. LTD.,201319346Z,General Builder Class 2,GB2,na,27/5/17,15,Yishun Industrial Street 1,#06-08,Win 5,768091,63974277
EHER CONSTRUCTION & ENGINEERING PTE. LTD.,199905236K,General Builder Class 2,GB2,na,19/1/18,10,ANSON ROAD,#10-11,INTERNATIONAL PLAZA,79903,96276289
EILONG ENTERPRISE PTE. LTD.,201202221H,General Builder Class 2,GB2,na,20/9/16,No. 1,Kaki Bukit Road 2,#02-08 (A),Eunos Warehouse Complex,417835,91051578
EINSER ENGINEERING PTE. LTD.,199701363W,General Builder Class 2,GB2,na,1/12/18,7,GAMBAS CRESCENT,#02-25,ARK@GAMBAS,757087,64813182
EKHL PTE LTD,201127745E,General Builder Class 2,GB2,na,16/10/16,203,HOUGANG STREET 21,#04-57,na,530203,62816881
EL IDEA CONTRACT PTE. LTD.,201542442W,General Builder Class 2,GB2,na,9/12/18,48,TOH GUAN ROAD EAST,#08-111,ENTERPRISE HUB,608586,64648644
ELECTRICAL CONTROL ENGINEERING PTE LTD,198903243M,General Builder Class 2,GB2,na,23/4/17,13,LORONG 8 TOA PAYOH,#05-07,BRADDELL TECH,319261,62509809
ELETEX ENGINEERING & TRADING PTE. LTD.,200710475D,General Builder Class 1,GB1,na,17/6/18,94,TAGORE LANE,na,SINDO INDUSTRIAL ESTATE,787536,63366042
ELEVEN CONSTRUCTION PTE. LTD.,201136399R,General Builder Class 2,GB2,na,13/5/18,20,ANG MO KIO INDUSTRIAL PARK 2A,#02-23,AMK TECH LINK,567761,98244497
ELIT FA‚ADE PTE LTD,T13FC0036J,General Builder Class 2,GB2,na,5/10/18,14,MOONSTONE LANE,na,na,328456,62942770
ELTRACO ROOFING SYSTEM PRIVATE LIMITED,200008397D,General Builder Class 2,GB2,na,12/10/18,18,BOON LAY WAY,#10-104,TRADEHUB 21,609966,67784811
EMERALD PROJECT PTE. LTD.,200723441H,General Builder Class 2,GB2,na,1/4/17,14,ROBINSON ROAD,#13-00,FAR EAST FINANCE BUILDING,48545,94557388
